Op,theta0,L0,omega,phi,ell,Oeq,Ub,Ut,Ua,Utotal,exitflag
1.68,2.63893782901543,0.164933614313464,4.27046706751397,0.991634893351824,0.0586109042411802,1.79162467534467,0.516226812272444,0.54100294701233,8.1917791774056e-06,1.05723795106395,2
1.69,2.65464579228338,0.165915362017711,4.27815656323539,0.995388436292246,0.0585936450968874,1.80281908702192,0.516748213341491,0.54212848564905,9.17071297263707e-06,1.05888586970351,2
1.7,2.67035375555132,0.166897109721958,4.28568566660891,0.999125170297535,0.0585777473680045,1.81397793852106,0.517159641441278,0.543075080307851,1.01859689409995e-05,1.06024490771807,2
1.71,2.68606171881927,0.167878857426205,4.29305997089096,1.00284552030687,0.0585631737242405,1.8251016008318,0.517463197831483,0.54384581233888,1.12417257097289e-05,1.06132025189607,2
1.72,2.70176968208722,0.168860605130451,4.30028526096979,1.00655014884125,0.058549864246596,1.83619115410075,0.517660929903866,0.544443726453263,1.23250541210321e-05,1.06211698141125,2
1.73,2.71747764535517,0.169842352834698,4.30736644970253,1.01023940744724,0.0585377914187704,1.84724674793569,0.517754841168285,0.544871783718545,1.34457515680685e-05,1.0626400706384,2
1.74,2.73318560862312,0.170824100538945,4.31430887227347,1.01391399314392,0.0585268943140844,1.85826956750019,0.517746814905236,0.545132992118651,1.45848413887319e-05,1.06289439186528,2
1.75,2.74889357189107,0.171805848243192,4.32111687628346,1.01757420408318,0.0585171527533633,1.86925960329969,0.517638675461698,0.545230285736449,1.57567624494377e-05,1.0628847179606,2
1.76,2.76460153515902,0.172787595947439,4.32779517124585,1.02122064276449,0.0585085172788871,1.88021776044801,0.51743231376544,0.545166462275214,1.69488687386304e-05,1.06261572490939,2
1.77,2.78030949842697,0.173769343651685,4.3343480451973,1.02485379545829,0.0585009512034955,1.89114459756718,0.517129772823211,0.544944057761941,1.81637250683176e-05,1.06209199431022,2
1.78,2.79601746169492,0.174751091355932,4.34077951763978,1.02847410306655,0.0584944226449017,1.90204053895055,0.516731781303242,0.544566836213063,1.93982654415472e-05,1.06131801578175,2
1.79,2.81172542496286,0.175732839060179,4.34709325634855,1.0320819036362,0.0584889099400166,1.91290570112705,0.516240828474784,0.544036709393507,2.06514155189413e-05,1.06029818928381,2
1.8,2.82743338823081,0.176714586764426,4.35329336922493,1.03567788172537,0.0584843602612454,1.92374124659412,0.515658703119793,0.543356205402519,2.19188903828651e-05,1.0590368274127,2
1.81,2.84314135149876,0.177696334468673,4.35938327122086,1.03926241724054,0.0584807496959062,1.93454742291811,0.51498642154444,0.54252853747288,2.31985531014225e-05,1.05753815757042,2
1.82,2.85884931476671,0.178678082172919,4.36536629159871,1.04283592260296,0.0584780522330073,1.94532457749512,0.514225838443959,0.541555990326556,2.44953456755596e-05,1.05580632411619,2
1.83,2.87455727803466,0.179659829877166,4.37124572330621,1.04639887076493,0.0584762364790282,1.95607324223153,0.51337800354178,0.540441586722384,2.58001688836951e-05,1.05384539043305,2
1.84,2.89026524130261,0.180641577581413,4.37702459689972,1.04995165524749,0.058475279262137,1.96679371121182,0.512444768521993,0.539187457119006,2.7115303446789e-05,1.05165934094445,2
1.85,2.90597320457056,0.18162332528566,4.3827059736255,1.05349476423368,0.0584751494763052,1.97748656564508,0.511427415021092,0.53779622721926,2.84408273092983e-05,1.04925208306766,2
1.86,2.92168116783851,0.182605072989907,4.38829262955406,1.05702858227112,0.058475825508198,1.98815207519403,0.510327341752264,0.536270339460271,2.97679018643209e-05,1.0466274491144,2
1.87,2.93738913110646,0.183586820694154,4.39378738123634,1.06055358943438,0.0584772786801667,1.99879079862395,0.509145543979436,0.534612545665182,3.11084934649793e-05,1.04378919813808,2
1.88,2.95309709437441,0.1845685683984,4.39919273330759,1.06407013378186,0.0584794914553827,2.00940289667819,0.507883767714723,0.53282480181237,3.24482012005412e-05,1.04074101772829,2
1.89,2.96880505764235,0.185550316102647,4.40451119294517,1.06757862753413,0.0584824416486813,2.01998872378162,0.506542746619544,0.53090999551762,3.37836238271732e-05,1.03748652576099,2
1.9,2.9845130209103,0.186532063806894,4.40974529450504,1.07107956517495,0.0584861010634262,2.03054888203087,0.505124200589199,0.528869941579215,3.51299235092411e-05,1.03402927209192,2
1.91,3.00022098417825,0.187513811511141,4.41489725754332,1.0745732926533,0.0584904542157719,2.04108352441581,0.50362871761282,0.526707542629749,3.64799684356682e-05,1.030372740211,2
1.92,3.0159289474462,0.188495559215388,4.41996924327976,1.07806017165474,0.0584954844237475,2.05159285014154,0.502057828076423,0.524424700949072,3.78198255232869e-05,1.02652034885102,2
1.93,3.03163691071415,0.189477306919634,4.42496358436795,1.08154073938083,0.058501161800666,2.06207758526366,0.500412624203011,0.522023656242181,3.91731031730361e-05,1.02247545354836,2
1.94,3.0473448739821,0.190459054623881,4.42988207896563,1.08501521599623,0.058507482249312,2.07253749813682,0.498693869543789,0.519506967190453,4.05114345149966e-05,1.01824134816876,2
1.95,3.06305283725005,0.191440802328128,4.43472688780994,1.08848412704381,0.0585144178218501,2.08297327376997,0.496902899116941,0.516876511801019,4.18554805275594e-05,1.01382126639849,2
1.96,3.078760800518,0.192422550032375,4.4394998690267,1.09194783621642,0.0585219534824951,2.09338510593666,0.495040496004799,0.514134703614161,4.31835551404096e-05,1.0092183831741,2
1.97,3.09446876378595,0.193404297736622,4.44420280170459,1.09540669751036,0.0585300766282093,2.10377315519242,0.493107939495456,0.511283363071989,4.45135337209375e-05,1.00443581610117,2
1.98,3.1101767270539,0.194386045440868,4.44883746825501,1.09886111435759,0.0585387702849609,2.11413772576428,0.491105587674555,0.508325200421409,4.58387258647459e-05,0.999476626821828,2
1.99,3.12588469032184,0.195367793145115,4.45340560397592,1.10231150267349,0.0585480170855142,2.12447915345263,0.489034915836384,0.505261749296271,4.71572218120391e-05,0.994343822354466,2
